Open_Time,Open,High,Low,Close,Volume
2021-04-13 00:00:00,28.5847,28.8639,26.4022,26.8588,3221914
2021-04-13 12:00:00,26.8589,28.239,26.765,27.5083,3104933
2021-04-14 00:00:00,27.5073,27.6151,25.55,26.0718,3964434
2021-04-14 12:00:00,26.0768,26.9,24.5888,26.4194,4394795
2021-04-15 00:00:00,26.4313,27.0566,25.5516,26.6095,3312094
2021-04-15 12:00:00,26.5973,28.2938,26.5954,27.7857,3493540
2021-04-16 00:00:00,27.7881,28.2903,25.4829,26.1621,3650893
2021-04-16 12:00:00,26.1603,26.27,24.9098,25.3449,3567069
2021-04-17 00:00:00,25.344,26.8387,25.1555,25.9078,3405497
2021-04-17 12:00:00,25.9078,26.812,24.8,24.8423,3365980
2021-04-18 00:00:00,24.859,28.5891,18.8868,25.4743,11187622
2021-04-18 12:00:00,25.4104,32.9957,25.3551,32.3492,11594600
2021-04-19 00:00:00,32.3739,34.9,29.9007,33.8483,7780452
2021-04-19 12:00:00,33.8534,36.0711,30.028,31.5856,11999041
2021-04-20 00:00:00,31.6106,32.7206,28.8,31.2808,7871912
2021-04-20 12:00:00,31.2701,32.488,29.016,31.7022,5478477
2021-04-21 00:00:00,31.7328,33.8436,30.3265,30.8001,4999719
2021-04-21 12:00:00,30.797,35.1789,30.1356,32.6637,7459368
2021-04-22 00:00:00,32.6453,37.958,31.554,36.5708,7952172
2021-04-22 12:00:00,36.5578,40.8878,34.484,38.9341,13569898
2021-04-23 00:00:00,38.9302,41.5553,31.4618,35.285,14731797
2021-04-23 12:00:00,35.2982,37.8,33.8512,37.3702,8112474
2021-04-24 00:00:00,37.3417,37.9046,34.6447,35.3176,5433785
2021-04-24 12:00:00,35.3228,43.64,35.0015,40.8663,11320410
2021-04-25 00:00:00,40.8604,43.5898,40.4248,42.1035,6256106
2021-04-25 12:00:00,42.1035,48.56,41.8666,47.3823,13430854
2021-04-26 00:00:00,47.374,48.542,44.85,45.507,7726574
2021-04-26 12:00:00,45.5089,47.5349,43.3079,43.9698,6107019
2021-04-27 00:00:00,43.9778,46.6309,43.7701,45.204,4740125
2021-04-27 12:00:00,45.2045,45.3737,42.567,43.2296,5635412
2021-04-28 00:00:00,43.2311,45.1379,40.65,44.1855,5561146
2021-04-28 12:00:00,44.1563,46.988,43.8905,44.8884,6659138
2021-04-29 00:00:00,44.9065,46.1999,42.73,44.1078,5094448
2021-04-29 12:00:00,44.1,44.7531,40.89,42.4925,4400389
2021-04-30 00:00:00,42.4925,44.337,41.2731,43.0268,3216410
2021-04-30 12:00:00,43.0308,44.017,42.1,42.8771,3234072
2021-05-01 00:00:00,42.8771,44.5996,42.1103,44.4247,3618188
2021-05-01 12:00:00,44.4306,50.0,43.7061,49.7035,7038817
2021-05-02 00:00:00,49.7126,50.1542,46.0047,46.7528,4962983
2021-05-02 12:00:00,46.7624,48.2871,46.128,46.9593,3901790
2021-05-03 00:00:00,46.9537,49.1178,46.7457,48.3619,3476829
2021-05-03 12:00:00,48.3542,48.6368,44.8,46.0232,4407841
2021-05-04 00:00:00,46.0226,47.8893,42.9321,47.1542,4654676
2021-05-04 12:00:00,47.1599,47.4499,42.2502,42.6551,4668498
2021-05-05 00:00:00,42.6666,45.8675,42.3507,44.474,3318717
2021-05-05 12:00:00,44.4614,46.0824,44.0,45.0381,3205813
2021-05-06 00:00:00,45.0381,45.0731,43.0952,44.6129,2676528
2021-05-06 12:00:00,44.6397,44.6624,42.5475,43.5641,2807594
2021-05-07 00:00:00,43.5628,43.8386,41.465,42.8276,2904638
2021-05-07 12:00:00,42.8209,46.2986,42.2489,43.2345,4803788
2021-05-08 00:00:00,43.2335,44.7413,42.3702,44.3043,2687042
2021-05-08 12:00:00,44.3091,46.7,43.4275,45.7022,3895596
2021-05-09 00:00:00,45.7108,47.1986,42.6106,44.8224,3934891
2021-05-09 12:00:00,44.829,45.0576,43.308,44.3591,3054350
2021-05-10 00:00:00,44.3585,45.9866,43.6561,44.0035,2665125
2021-05-10 12:00:00,43.994,44.4,38.2509,42.8909,4083448
2021-05-11 00:00:00,42.8901,43.0564,39.732,41.401,3025024
2021-05-11 12:00:00,41.4,45.184,40.04,44.624,3222872
2021-05-12 00:00:00,44.616,46.75,43.743,46.138,3274590
2021-05-12 12:00:00,46.14,49.201,42.0,43.484,9075960
2021-05-13 00:00:00,43.564,45.49,39.368,41.595,6145532
2021-05-13 12:00:00,41.595,43.443,37.431,41.052,5616455
2021-05-14 00:00:00,41.053,43.277,39.856,42.83,3451063
2021-05-14 12:00:00,42.816,44.969,41.5,42.741,3212507
2021-05-15 00:00:00,42.735,43.078,40.377,41.275,2702103
2021-05-15 12:00:00,41.287,45.589,39.398,43.53,4063133
2021-05-16 00:00:00,43.517,48.067,43.125,47.229,4703451
2021-05-16 12:00:00,47.229,52.583,41.859,46.866,12808064
2021-05-17 00:00:00,46.87,51.56,43.1,50.239,9201561
2021-05-17 12:00:00,50.239,52.026,45.701,46.74,10304716
2021-05-18 00:00:00,46.752,55.141,46.041,54.534,6934513
2021-05-18 12:00:00,54.533,58.583,51.139,55.95,9466552
2021-05-19 00:00:00,55.968,57.615,38.997,43.974,11518438
2021-05-19 12:00:00,43.974,47.857,25.228,34.952,10951010
